id	name	parent_condition_group_id	date_created	date_modified
1	Certain infectious and parasitic diseases		2018-02-10 05:15:39	2018-02-10 05:15:39
2	Neoplasms		2018-02-10 05:15:39	2018-02-10 05:15:39
3	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism		2018-02-10 05:15:39	2018-02-10 05:15:39
4	Endocrine, nutritional and metabolic diseases		2018-02-10 05:15:39	2018-02-10 05:15:39
5	Mental and behavioural disorders		2018-02-10 05:15:39	2018-02-10 05:15:39
6	Diseases of the nervous system		2018-02-10 05:15:39	2018-02-10 05:15:39
7	Diseases of the eye and adnexa		2018-02-10 05:15:39	2018-02-10 05:15:39
8	Diseases of the ear and mastoid process		2018-02-10 05:15:39	2018-02-10 05:15:39
9	Diseases of the circulatory system		2018-02-10 05:15:39	2018-02-10 05:15:39
10	Diseases of the respiratory system		2018-02-10 05:15:39	2018-02-10 05:15:39
11	Diseases of the digestive system		2018-02-10 05:15:39	2018-02-10 05:15:39
12	Diseases of the skin and subcutaneous tissue		2018-02-10 05:15:39	2018-02-10 05:15:39
13	Diseases of the musculoskeletal system and connective tissue		2018-02-10 05:15:39	2018-02-10 05:15:39
14	Diseases of the genitourinary system		2018-02-10 05:15:39	2018-02-10 05:15:39
15	Pregnancy, childbirth and the puerperium		2018-02-10 05:15:39	2018-02-10 05:15:39
16	Certain conditions originating in the perinatal period		2018-02-10 05:15:39	2018-02-10 05:15:39
17	Congenital malformations, deformations and chromosomal abnormalities		2018-02-10 05:15:39	2018-02-10 05:15:39
18	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified		2018-02-10 05:15:39	2018-02-10 05:15:39
19	Injury, poisoning and certain other consequences of external causes		2018-02-10 05:15:39	2018-02-10 05:15:39
20	External causes of morbidity and mortality		2018-02-10 05:15:39	2018-02-10 05:15:39
21	Factors influencing health status and contact with health services		2018-02-10 05:15:39	2018-02-10 05:15:39
22	Codes for special purposes		2018-02-10 05:15:39	2018-02-10 05:15:39
23	Intestinal infectious diseases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
24	Tuberculosis	1	2018-02-10 05:15:39	2018-02-10 05:15:39
25	Certain zoonotic bacterial diseases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
26	Other bacterial diseases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
27	Infections with a predominantly sexual mode of transmission	1	2018-02-10 05:15:39	2018-02-10 05:15:39
28	Other spirochaetal diseases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
29	Other diseases caused by chlamydiae	1	2018-02-10 05:15:39	2018-02-10 05:15:39
30	Rickettsioses	1	2018-02-10 05:15:39	2018-02-10 05:15:39
31	Viral infections of the central nervous system	1	2018-02-10 05:15:39	2018-02-10 05:15:39
32	Arthropod-borne viral fevers and viral haemorrhagic fevers	1	2018-02-10 05:15:39	2018-02-10 05:15:39
33	Viral infections characterized by skin and mucous membrane lesions	1	2018-02-10 05:15:39	2018-02-10 05:15:39
34	Viral hepatitis	1	2018-02-10 05:15:39	2018-02-10 05:15:39
35	Human immunodeficiency virus [HIV] disease	1	2018-02-10 05:15:39	2018-02-10 05:15:39
36	Other viral diseases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
37	Mycoses	1	2018-02-10 05:15:39	2018-02-10 05:15:39
38	Protozoal diseases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
39	Helminthiases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
40	Pediculosis, acariasis and other infestations	1	2018-02-10 05:15:39	2018-02-10 05:15:39
41	Sequelae of infectious and parasitic diseases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
42	Bacterial, viral and other infectious agents	1	2018-02-10 05:15:39	2018-02-10 05:15:39
43	Other infectious diseases	1	2018-02-10 05:15:39	2018-02-10 05:15:39
44	Malignant neoplasms	2	2018-02-10 05:15:39	2018-02-10 05:15:39
45	Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue	44	2018-02-10 05:15:39	2018-02-10 05:15:39
46	Malignant neoplasms of lip, oral cavity and pharynx	45	2018-02-10 05:15:39	2018-02-10 05:15:39
47	Malignant neoplasms of digestive organs	45	2018-02-10 05:15:39	2018-02-10 05:15:39
48	Malignant neoplasms of respiratory and intrathoracic organs	45	2018-02-10 05:15:39	2018-02-10 05:15:39
49	Malignant neoplasms of bone and articular cartilage	45	2018-02-10 05:15:39	2018-02-10 05:15:39
50	Melanoma and other malignant neoplasms of skin	45	2018-02-10 05:15:39	2018-02-10 05:15:39
51	Malignant neoplasms of mesothelial and soft tissue	45	2018-02-10 05:15:39	2018-02-10 05:15:39
52	Malignant neoplasm of breast	45	2018-02-10 05:15:39	2018-02-10 05:15:39
53	Malignant neoplasms of female genital organs	45	2018-02-10 05:15:39	2018-02-10 05:15:39
54	Malignant neoplasms of male genital organs	45	2018-02-10 05:15:39	2018-02-10 05:15:39
55	Malignant neoplasms of urinary tract	45	2018-02-10 05:15:39	2018-02-10 05:15:39
56	Malignant neoplasms of eye, brain and other parts of central nervous system	45	2018-02-10 05:15:39	2018-02-10 05:15:39
57	Malignant neoplasms of thyroid and other endocrine glands	45	2018-02-10 05:15:39	2018-02-10 05:15:39
58	Malignant neoplasms of ill-defined, secondary and unspecified sites	44	2018-02-10 05:15:39	2018-02-10 05:15:39
59	Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	44	2018-02-10 05:15:39	2018-02-10 05:15:39
60	Malignant neoplasms of independent (primary) multiple sites	44	2018-02-10 05:15:39	2018-02-10 05:15:39
61	In situ neoplasms	2	2018-02-10 05:15:39	2018-02-10 05:15:39
62	Benign neoplasms	2	2018-02-10 05:15:39	2018-02-10 05:15:39
63	Neoplasms of uncertain or unknown behaviour	2	2018-02-10 05:15:39	2018-02-10 05:15:39
64	Nutritional anaemias	3	2018-02-10 05:15:39	2018-02-10 05:15:39
65	Haemolytic anaemias	3	2018-02-10 05:15:39	2018-02-10 05:15:39
66	Aplastic and other anaemias	3	2018-02-10 05:15:39	2018-02-10 05:15:39
67	Coagulation defects, purpura and other haemorrhagic conditions	3	2018-02-10 05:15:39	2018-02-10 05:15:39
68	Other diseases of blood and blood-forming organs	3	2018-02-10 05:15:39	2018-02-10 05:15:39
69	Certain disorders involving the immune mechanism	3	2018-02-10 05:15:39	2018-02-10 05:15:39
70	Disorders of thyroid gland	4	2018-02-10 05:15:39	2018-02-10 05:15:39
71	Diabetes mellitus	4	2018-02-10 05:15:39	2018-02-10 05:15:39
72	Other disorders of glucose regulation and pancreatic internal secretion	4	2018-02-10 05:15:39	2018-02-10 05:15:39
73	Disorders of other endocrine glands	4	2018-02-10 05:15:39	2018-02-10 05:15:39
74	Malnutrition	4	2018-02-10 05:15:39	2018-02-10 05:15:39
75	Other nutritional deficiencies	4	2018-02-10 05:15:39	2018-02-10 05:15:39
76	Obesity and other hyperalimentation	4	2018-02-10 05:15:39	2018-02-10 05:15:39
77	Metabolic disorders	4	2018-02-10 05:15:39	2018-02-10 05:15:39
78	Organic, including symptomatic, mental disorders	5	2018-02-10 05:15:39	2018-02-10 05:15:39
79	Mental and behavioural disorders due to psychoactive substance use	5	2018-02-10 05:15:39	2018-02-10 05:15:39
80	Schizophrenia, schizotypal and delusional disorders	5	2018-02-10 05:15:39	2018-02-10 05:15:39
81	Mood [affective] disorders	5	2018-02-10 05:15:39	2018-02-10 05:15:39
82	Neurotic, stress-related and somatoform disorders	5	2018-02-10 05:15:39	2018-02-10 05:15:39
83	Behavioural syndromes associated with physiological disturbances and physical factors	5	2018-02-10 05:15:39	2018-02-10 05:15:39
