id	from_condition_id	to_condition_id	relation_type_id	publication_id	date_created	date_modified
1	2	1	C	1	2018-05-27 07:13:37	2018-05-27 07:13:37
2	3	1	C	1	2018-05-27 07:15:53	2018-05-27 07:15:53
3	4	1	C	1	2018-05-27 07:19:40	2018-05-27 07:19:40
4	7	1	C	1	2018-05-27 09:48:04	2018-05-27 09:48:04
5	8	6	M	1	2018-05-27 09:58:24	2018-05-27 09:58:24
6	7	6	M	1	2018-05-27 09:58:50	2018-05-27 09:58:50
7	9	10	C	1	2018-05-27 10:02:00	2018-05-27 10:02:00
8	9	11	C	1	2018-05-27 10:02:54	2018-05-27 10:02:54
9	9	12	C	1	2018-05-27 10:03:38	2018-05-27 10:03:38
10	9	13	C	1	2018-05-27 10:04:39	2018-05-27 10:04:39
11	15	1	C	1	2018-05-27 10:11:16	2018-05-27 10:11:16
12	14	15	C	1	2018-05-27 10:11:42	2018-05-27 10:11:42
13	14	16	C	1	2018-05-27 10:12:48	2018-05-27 10:12:48
14	14	17	C	1	2018-05-27 10:13:34	2018-05-27 10:13:34
15	14	18	C	1	2018-05-27 10:14:11	2018-05-27 10:14:11
16	14	19	C	1	2018-05-27 10:14:40	2018-05-27 10:14:40
17	20	16	C	1	2018-05-28 11:06:22	2018-05-28 11:06:22
18	20	21	C	1	2018-05-28 11:07:17	2018-05-28 11:07:17
19	20	22	C	1	2018-05-28 11:10:13	2018-05-28 11:10:13
20	20	23	C	1	2018-05-28 11:11:16	2018-05-28 11:11:16
21	20	24	C	1	2018-05-28 11:12:12	2018-05-28 11:12:12
22	20	25	C	1	2018-05-28 11:13:27	2018-05-28 11:13:27
